Date,EURtoGBP,GBPtoEUR
04/01/2000,1.5874,0.63
05/01/2000,1.5862,0.6304
06/01/2000,1.5921,0.6281
07/01/2000,1.5909,0.6286
10/01/2000,1.5956,0.6267
11/01/2000,1.5994,0.6252
12/01/2000,1.6025,0.624
13/01/2000,1.6056,0.6228
14/01/2000,1.6152,0.6191
17/01/2000,1.6174,0.6183
18/01/2000,1.6199,0.6173
19/01/2000,1.6242,0.6157
20/01/2000,1.6332,0.6123
21/01/2000,1.6391,0.6101
24/01/2000,1.6483,0.6067
25/01/2000,1.6392,0.6101
26/01/2000,1.6382,0.6104
27/01/2000,1.6565,0.6037
28/01/2000,1.6529,0.605
31/01/2000,1.6574,0.6034
01/02/2000,1.6598,0.6025
02/02/2000,1.6498,0.6061
03/02/2000,1.6288,0.6139
04/02/2000,1.6214,0.6168
07/02/2000,1.6246,0.6155
08/02/2000,1.6333,0.6123
09/02/2000,1.6271,0.6146
10/02/2000,1.6289,0.6139
11/02/2000,1.6182,0.618
14/02/2000,1.6215,0.6167
15/02/2000,1.6241,0.6157
16/02/2000,1.6291,0.6138
17/02/2000,1.6291,0.6138
18/02/2000,1.6212,0.6168
21/02/2000,1.6192,0.6176
22/02/2000,1.6038,0.6235
23/02/2000,1.5987,0.6255
24/02/2000,1.6078,0.622
25/02/2000,1.6289,0.6139
28/02/2000,1.6446,0.6081
29/02/2000,1.64,0.6098
01/03/2000,1.637,0.6109
02/03/2000,1.635,0.6116
03/03/2000,1.6439,0.6083
06/03/2000,1.6365,0.6111
07/03/2000,1.651,0.6057
08/03/2000,1.6537,0.6047
09/03/2000,1.6323,0.6126
10/03/2000,1.6366,0.611
13/03/2000,1.6331,0.6123
14/03/2000,1.6314,0.613
15/03/2000,1.6222,0.6164
16/03/2000,1.6207,0.617
17/03/2000,1.6228,0.6162
20/03/2000,1.615,0.6192
21/03/2000,1.6237,0.6159
22/03/2000,1.6307,0.6132
23/03/2000,1.6304,0.6133
24/03/2000,1.6347,0.6117
27/03/2000,1.6399,0.6098
28/03/2000,1.6396,0.6099
29/03/2000,1.6625,0.6015
30/03/2000,1.6675,0.5997
31/03/2000,1.6662,0.6002
03/04/2000,1.6683,0.5994
04/04/2000,1.6725,0.5979
05/04/2000,1.6482,0.6067
06/04/2000,1.6502,0.606
07/04/2000,1.6507,0.6058
10/04/2000,1.6494,0.6063
11/04/2000,1.6502,0.606
12/04/2000,1.6567,0.6036
13/04/2000,1.663,0.6013
14/04/2000,1.66,0.6024
17/04/2000,1.6618,0.6018
18/04/2000,1.662,0.6017
19/04/2000,1.6798,0.5953
20/04/2000,1.6823,0.5944
25/04/2000,1.7031,0.5872
26/04/2000,1.7114,0.5843
27/04/2000,1.7284,0.5786
28/04/2000,1.7166,0.5825
02/05/2000,1.7207,0.5812
03/05/2000,1.752,0.5708
04/05/2000,1.7315,0.5775
05/05/2000,1.7102,0.5847
08/05/2000,1.7115,0.5843
09/05/2000,1.6983,0.5888
10/05/2000,1.6695,0.599
11/05/2000,1.6621,0.6016
12/05/2000,1.6721,0.5981
15/05/2000,1.6536,0.6047
16/05/2000,1.6542,0.6045
17/05/2000,1.6728,0.5978
18/05/2000,1.6574,0.6034
19/05/2000,1.6624,0.6015
22/05/2000,1.652,0.6053
23/05/2000,1.6266,0.6148
24/05/2000,1.6228,0.6162
25/05/2000,1.6245,0.6156
26/05/2000,1.6031,0.6238
30/05/2000,1.6059,0.6227
31/05/2000,1.612,0.6203
01/06/2000,1.6031,0.6238
02/06/2000,1.5964,0.6264
05/06/2000,1.6006,0.6248
06/06/2000,1.589,0.6293
07/06/2000,1.5874,0.63
08/06/2000,1.5832,0.6316
09/06/2000,1.582,0.6321
12/06/2000,1.5855,0.6307
13/06/2000,1.5759,0.6346
14/06/2000,1.5665,0.6384
15/06/2000,1.5813,0.6324
16/06/2000,1.5772,0.634
19/06/2000,1.5751,0.6349
20/06/2000,1.5778,0.6338
21/06/2000,1.5842,0.6312
22/06/2000,1.6088,0.6216
23/06/2000,1.6041,0.6234
26/06/2000,1.6006,0.6248
27/06/2000,1.5898,0.629
28/06/2000,1.5974,0.626
29/06/2000,1.5953,0.6268
30/06/2000,1.5795,0.6331
03/07/2000,1.5909,0.6286
04/07/2000,1.5945,0.6272
05/07/2000,1.5813,0.6324
06/07/2000,1.5848,0.631
07/07/2000,1.5964,0.6264
10/07/2000,1.5892,0.6292
11/07/2000,1.5924,0.628
12/07/2000,1.6035,0.6236
13/07/2000,1.6044,0.6233
14/07/2000,1.602,0.6242
17/07/2000,1.5972,0.6261
18/07/2000,1.6039,0.6235
19/07/2000,1.6169,0.6185
20/07/2000,1.6269,0.6147
21/07/2000,1.6241,0.6157
24/07/2000,1.6238,0.6158
25/07/2000,1.6132,0.6199
26/07/2000,1.6106,0.6209
27/07/2000,1.6136,0.6197
28/07/2000,1.6229,0.6162
31/07/2000,1.6158,0.6189
01/08/2000,1.621,0.6169
02/08/2000,1.635,0.6116
03/08/2000,1.654,0.6046
04/08/2000,1.6574,0.6034
07/08/2000,1.6608,0.6021
08/08/2000,1.6721,0.5981
09/08/2000,1.6725,0.5979
10/08/2000,1.6505,0.6059
11/08/2000,1.6616,0.6018
14/08/2000,1.6661,0.6002
15/08/2000,1.6497,0.6062
16/08/2000,1.6446,0.6081
17/08/2000,1.6383,0.6104
18/08/2000,1.6438,0.6083
21/08/2000,1.6512,0.6056
22/08/2000,1.653,0.605
23/08/2000,1.6556,0.604
24/08/2000,1.641,0.6094
25/08/2000,1.6289,0.6139
29/08/2000,1.6293,0.6138
30/08/2000,1.6292,0.6138
31/08/2000,1.6364,0.6111
01/09/2000,1.6235,0.616
04/09/2000,1.6241,0.6157
05/09/2000,1.6325,0.6126
06/09/2000,1.6526,0.6051
07/09/2000,1.6468,0.6072
08/09/2000,1.6428,0.6087
11/09/2000,1.6441,0.6082
12/09/2000,1.635,0.6116
13/09/2000,1.6332,0.6123
14/09/2000,1.6349,0.6117
15/09/2000,1.6303,0.6134
18/09/2000,1.6413,0.6093
19/09/2000,1.6477,0.6069
20/09/2000,1.6678,0.5996
21/09/2000,1.6676,0.5997
22/09/2000,1.6537,0.6047
25/09/2000,1.6628,0.6014
26/09/2000,1.6552,0.6042
27/09/2000,1.6596,0.6026
28/09/2000,1.6595,0.6026
29/09/2000,1.6747,0.5971
02/10/2000,1.6667,0.6
03/10/2000,1.6632,0.6013
04/10/2000,1.6709,0.5985
05/10/2000,1.6712,0.5984
06/10/2000,1.6633,0.6012
09/10/2000,1.6665,0.6001
10/10/2000,1.6681,0.5995
11/10/2000,1.6767,0.5964
12/10/2000,1.7034,0.5871
13/10/2000,1.7003,0.5881
16/10/2000,1.7039,0.5869
17/10/2000,1.6942,0.5902
18/10/2000,1.7135,0.5836
19/10/2000,1.7177,0.5822
20/10/2000,1.7251,0.5797
23/10/2000,1.7374,0.5756
24/10/2000,1.731,0.5777
25/10/2000,1.7325,0.5772
26/10/2000,1.7272,0.579
27/10/2000,1.7218,0.5808
30/10/2000,1.7196,0.5815
31/10/2000,1.7138,0.5835
01/11/2000,1.688,0.5924
02/11/2000,1.6825,0.5944
03/11/2000,1.6776,0.5961
06/11/2000,1.6645,0.6008
07/11/2000,1.6618,0.6018
08/11/2000,1.6637,0.6011
09/11/2000,1.6583,0.603
10/11/2000,1.6565,0.6037
13/11/2000,1.6733,0.5976
14/11/2000,1.6648,0.6007
15/11/2000,1.6618,0.6018
16/11/2000,1.6648,0.6007
17/11/2000,1.669,0.5992
20/11/2000,1.6783,0.5958
21/11/2000,1.6763,0.5966
22/11/2000,1.6762,0.5966
23/11/2000,1.6627,0.6014
24/11/2000,1.6693,0.5991
27/11/2000,1.6684,0.5994
28/11/2000,1.66,0.6024
29/11/2000,1.6546,0.6044
30/11/2000,1.629,0.6139
01/12/2000,1.641,0.6094
04/12/2000,1.6337,0.6121
05/12/2000,1.6323,0.6126
06/12/2000,1.6238,0.6158
07/12/2000,1.6208,0.617
08/12/2000,1.633,0.6124
11/12/2000,1.6584,0.603
12/12/2000,1.6514,0.6055
13/12/2000,1.6576,0.6033
14/12/2000,1.6564,0.6037
15/12/2000,1.6432,0.6086
18/12/2000,1.6378,0.6106
19/12/2000,1.6426,0.6088
20/12/2000,1.6256,0.6152
21/12/2000,1.6133,0.6198
22/12/2000,1.5992,0.6253
27/12/2000,1.5998,0.6251
28/12/2000,1.6097,0.6212
29/12/2000,1.5938,0.6274
