f,x,y,I
1,5875.772728,5268.559329,4539
1,17629.49698,13003.78011,2479
1,9758.046464,898.7298609,2922
1,6526.736442,16446.69962,3355
1,13741.81995,8648.290167,2823
1,15468.96588,10455.50032,2633
1,9439.081963,315.4920826,2394
1,10251.20714,5599.204989,2134
1,3183.923134,6699.801616,2453
1,12659.25267,12768.46924,1789
1,2600.943406,3885.485898,1883
1,6176.820304,1363.367998,1925
1,12864.67994,7612.569042,1817
1,10572.75214,7897.130014,1761
1,3881.839555,3552.399673,2046
1,8621.303215,18420.13257,1504
1,4912.902443,15849.27988,1450
1,14973.21511,783.1082209,1719
1,12988.30552,15136.82043,1563
1,4984.664473,4939.888466,1705
1,8509.441864,11322.13051,1613
1,17595.88313,10795.95201,1647
1,6082.659555,11944.17724,1680
1,8480.458795,12215.16237,1841
1,16001.28021,13285.46681,1877
1,5295.10614,7975.477331,1562
1,15099.99968,7773.104785,1346
1,9582.271314,6867.864673,1330
1,15608.32164,16523.00533,1247
1,6400.217445,9989.487563,1569
1,7067.457788,11891.06507,1242
1,5909.025403,6526.31609,1231
1,15849.81653,8297.891747,1102
1,15763.8843,6429.010414,1224
1,1364.762241,8856.489171,1417
1,6405.440297,5083.278394,1438
1,12133.04664,15303.9471,1386
1,7059.206452,10515.13169,1275
1,12381.44426,9306.990437,1379
1,2232.007611,17505.0391,993
1,13383.60865,713.4911988,991
1,14002.28683,16742.21152,1178
1,14816.48002,9822.958493,1091
1,5707.716735,7134.254521,996
1,11648.28828,6755.407844,991
1,3888.221805,15344.48549,942
1,11438.19584,1401.373126,1179
1,5668.619794,3047.72558,909
1,11058.22209,13483.27176,923
1,16759.94815,11882.80152,1102
1,10908.28118,12460.43755,1047
1,9372.151295,9749.473147,1025
1,1320.671069,8284.896156,1063
1,11665.14358,5620.448232,1045
1,10860.20259,16473.57969,732
1,13327.24517,11416.90028,1234
1,3831.044927,7243.891784,964
1,10540.45796,2469.282436,1256
1,7352.411795,17026.29735,793
1,11070.64538,4456.991017,929
1,12560.22986,1450.884756,1052
1,16402.34086,12816.5092,1069
1,13151.81257,13952.36198,1051
1,6973.199018,2041.01177,933
1,5252.286665,14836.57279,637
1,11887.99697,13017.91095,724
1,7676.276496,4394.740558,1036
1,16069.88038,11791.13116,860
1,4655.938037,9895.117692,906
1,1519.740298,5129.487804,938
1,3807.884519,9415.982691,986
1,5769.8752,7644.573701,608
1,3333.353891,3881.048985,897
1,10785.14661,1442.803621,807
1,1464.538591,12564.64956,685
1,2114.14329,1169.468117,689
1,3372.499732,11465.49407,526
1,15604.76996,8949.651314,714
1,2929.686328,6025.532364,761
1,13228.30426,6869.499479,601
1,12653.46008,5359.535496,833
1,12311.63185,8068.070462,830
1,2467.88029,15683.93085,569
1,16815.72034,10380.6151,635
1,1832.51161,2642.379681,453
1,9064.817236,11390.12221,759
1,6305.678767,10678.84874,491
1,8578.444891,7501.473898,548
1,17366.43161,7000.174206,823
1,1546.429157,3590.738882,715
1,15615.84692,3906.280936,611
1,5380.590928,15930.01575,561
1,6075.089928,8392.996834,691
1,12858.19995,14484.12057,792
1,14407.40474,18456.85998,719
1,2152.284676,1752.245276,698
1,5386.441095,3624.710064,648
1,15226.04179,6029.766286,553
1,14516.41124,16380.22308,596
1,13959.55785,10314.09399,621
1,16181.75627,7277.908839,678
1,12008.84618,12506.48071,516
1,16997.22098,3511.474072,721
1,755.5845292,16764.98874,562
1,14468.99867,1793.559883,597
1,9301.121596,2744.595228,486
1,10635.8226,10124.60171,492
1,534.484021,777.5509246,508
1,15809.68224,12314.52376,528
1,3810.428594,1817.028753,538
1,10986.43951,7419.093532,597
1,7219.285474,17740.70581,533
1,17134.6651,2999.364588,388
1,8896.769324,8115.637391,544
1,7331.54635,14275.71046,477
1,2044.14617,5144.064384,482
1,6640.269148,14508.21477,471
1,14120.52922,14916.86334,445
1,9680.125866,8903.278497,610
1,13654.6154,18030.9416,427
1,8765.161406,16146.02985,448
1,10170.35442,8438.377154,509
1,1692.882934,10452.95741,420
1,17223.86746,11560.5633,565
1,17203.23657,1676.857528,439
1,9525.794751,14369.86846,496
1,16344.52869,5555.076069,489
1,11388.50359,5132.692088,494
1,5896.259693,17974.11652,430
1,10230.85458,7244.182858,278
1,9171.268124,10744.6307,455
1,14265.3416,12021.64684,367
1,5880.457083,12708.60579,487
1,3294.486132,18169.96795,365
1,2422.38249,457.6289339,363
1,17630.29321,5828.532846,326
1,6978.949929,1176.72698,406
1,10491.19138,14515.33103,352
1,5618.45547,17389.23175,292
1,1214.911194,2987.469613,407
1,14008.44721,12790.56779,377
1,4590.044942,13524.01569,374
1,2653.841044,2253.137964,394
1,2851.953628,9820.637277,372
1,6432.033421,8928.785988,317
1,1089.238265,6499.235861,326
1,481.7882353,7438.284168,332
1,15099.67037,9216.959259,356
1,4777.029691,1826.031737,388
1,5652.669902,1678.77322,351
1,10805.20158,8393.423635,312
1,14613.62674,12868.39384,315
1,9979.437119,12377.05085,364
1,409.3447347,8815.220959,292
1,3813.222652,344.9272128,273
1,16145.46173,9022.134375,349
1,10137.64589,15806.78464,353
1,2745.911142,13344.41046,242
1,4700.387327,404.245084,270
1,7449.878316,14847.31724,264
1,16079.73735,351.8435959,233
1,9689.766254,4901.709485,253
1,7620.376178,9095.511368,263
1,12077.5337,5768.073053,380
1,4929.421825,18120.78877,356
1,12302.29468,8545.464794,388
1,1420.004969,15127.16667,257
1,6541.494038,18153.92454,235
1,6895.201262,8250.396882,348
1,9672.358311,18046.2716,268
1,7575.394587,574.2371847,264
1,10111.50791,3141.54157,313
1,12365.21839,2832.072583,180
1,13653.15766,14495.48849,274
1,16514.76436,17089.11527,190
1,8404.76781,5903.94777,198
1,6264.850935,11284.88866,192
1,11989.74776,18272.85464,201
